Squad,Team Explosiveness Index
vs Bournemouth,27.39292105263158
vs Everton,25.93421052631579
vs Leicester City,24.892842105263156
vs Nott'ham Forest,24.362210526315792
vs Leeds United,24.298105263157897
vs Wolves,22.85657894736842
vs Southampton,22.08842105263158
vs Fulham,21.960631578947368
vs Brentford,19.250894736842106
vs West Ham,18.089736842105264
vs Tottenham,17.761210526315793
vs Manchester Utd,16.685052631578948
vs Chelsea,15.888157894736842
vs Aston Villa,15.41842105263158
vs Crystal Palace,15.050236842105264
vs Brighton,13.210526315789474
vs Liverpool,12.89913157894737
vs Newcastle Utd,10.473157894736843
vs Arsenal,9.803684210526315
vs Manchester City,6.470684210526317
