Player,npxG/90,npxG_per_shot,Consistency
Callum Wilson,0.722488038277512,0.2253731343283582,0.16282939370134972
Erling Haaland,0.75,0.21192660550458717,0.15894495412844037
Eddie Nketiah,0.6776859504132231,0.19999999999999998,0.13553719008264462
Anthony Martial,0.5045871559633027,0.22,0.1110091743119266
Deniz Undav,0.6428571428571429,0.16666666666666666,0.10714285714285715
Gabriel Jesus,0.5764192139737991,0.176,0.10144978165938864
Diogo Jota,0.5158730158730159,0.18571428571428572,0.09580498866213154
Darwin Núñez,0.6436170212765957,0.14404761904761904,0.09271149949341437
Kelechi Iheanacho,0.504,0.17027027027027025,0.08581621621621621
Mohamed Salah,0.505464480874317,0.1581196581196581,0.07992387090747746
Taiwo Awoniyi,0.4230769230769231,0.18857142857142856,0.07978021978021978
Ollie Watkins,0.42939481268011526,0.18170731707317073,0.07802417937724045
Evan Ferguson,0.5,0.14722222222222223,0.07361111111111111
Danny Ings,0.3488372093023256,0.2,0.06976744186046512
Danny Welbeck,0.45631067961165045,0.15161290322580645,0.06918258690886313
Marcus Rashford,0.48125,0.1425925925925926,0.06862268518518519
Danny Ings,0.41304347826086957,0.16521739130434782,0.06824196597353496
Dominic Calvert-Lewin,0.38759689922480617,0.1724137931034483,0.06682705159048383
Ivan Toney,0.4024390243902439,0.16499999999999998,0.06640243902439023
Jamie Vardy,0.28640776699029125,0.22692307692307695,0.06499253174010455
Patrick Bamford,0.41666666666666663,0.15217391304347827,0.06340579710144928
Harry Kane,0.4417989417989418,0.14152542372881355,0.06252578244103667
Cody Gakpo,0.3827160493827161,0.158974358974359,0.06084203861981641
Alejandro Garnacho,0.4761904761904762,0.125,0.05952380952380953
Kai Havertz,0.37894736842105264,0.1565217391304348,0.05931350114416477
Kieffer Moore,0.3098591549295775,0.19130434782608696,0.05927740355174526
Neal Maupay,0.3870967741935484,0.15,0.058064516129032254
Roberto Firmino,0.4074074074074074,0.14102564102564102,0.05745489078822412
Pablo Sarabia,0.3647058823529412,0.155,0.05652941176470589
Alexander Isak,0.39644970414201186,0.1425531914893617,0.05651517059045701
Yoane Wissa,0.3146067415730337,0.175,0.05505617977528089
Michail Antonio,0.3251231527093596,0.1692307692307692,0.055020841227737774
Julián Álvarez,0.38036809815950917,0.13777777777777778,0.052406271301976816
Mikkel Damsgaard,0.23636363636363636,0.21666666666666667,0.051212121212121216
Luis Sinisterra,0.3854166666666667,0.13214285714285715,0.05093005952380953
Jean-Philippe Mateta,0.3953488372093023,0.1259259259259259,0.049784668389319546
João Félix,0.4666666666666667,0.10652173913043479,0.04971014492753624
Kaoru Mitoma,0.313953488372093,0.15576923076923077,0.04890429338103757
Julio César Enciso,0.4444444444444444,0.10526315789473684,0.04678362573099415
Kevin Schade,0.2592592592592593,0.17500000000000002,0.04537037037037038
Jadon Sancho,0.22459893048128343,0.2,0.044919786096256686
Raheem Sterling,0.29523809523809524,0.14761904761904762,0.0435827664399093
Aleksandar Mitrović,0.3856502242152466,0.11168831168831168,0.04307262244481975
Carlos Vinícius,0.26829268292682923,0.15714285714285714,0.04216027874564459
Che Adams,0.2986425339366515,0.1404255319148936,0.04193703668046595
Son Heung-min,0.3146417445482866,0.12469135802469135,0.03923310641898388
Rodrigo,0.3395348837209302,0.1123076923076923,0.03813237924865832
Hwang Hee-chan,0.23015873015873015,0.1611111111111111,0.03708112874779541
Phil Foden,0.2878048780487805,0.1282608695652174,0.03691410392364794
Harvey Barnes,0.2956810631229236,0.12361111111111112,0.03654946474713917
Bryan Mbeumo,0.2786377708978328,0.13043478260869565,0.036344057073630365
Dango Ouattara,0.2608695652173913,0.13846153846153847,0.036120401337792644
Richarlison,0.29464285714285715,0.12222222222222222,0.03601190476190476
Raúl Jiménez,0.2765957446808511,0.13,0.03595744680851064
Mykhailo Mudryk,0.2602739726027397,0.1357142857142857,0.03532289628180039
Gabriel Martinelli,0.30000000000000004,0.11772151898734177,0.03531645569620254
Leandro Trossard,0.30136986301369867,0.11578947368421054,0.034895457822638795
Anthony Gordon,0.27049180327868855,0.12692307692307692,0.034331651954602777
Dominic Solanke,0.2861635220125786,0.11973684210526316,0.03426431645150612
Paul Onuachu,0.2888888888888889,0.11818181818181818,0.034141414141414146
Miguel Almirón,0.2888086642599278,0.11594202898550725,0.03348506252289018
Joelinton,0.23986486486486483,0.1392156862745098,0.03339295177530471
İlkay Gündoğan,0.2567049808429119,0.12884615384615386,0.033075449454759806
Wout Weghorst,0.2247191011235955,0.14285714285714285,0.03210272873194221
Cole Palmer,0.29268292682926833,0.10909090909090909,0.031929046563192905
Martin Ødegaard,0.2881844380403458,0.10752688172043011,0.030987573982832885
Patson Daka,0.26515151515151514,0.11666666666666667,0.030934343434343432
Antony,0.32999999999999996,0.09166666666666666,0.030249999999999996
Emi Buendía,0.23507462686567163,0.12857142857142856,0.03022388059701492
Daniel James,0.24637681159420288,0.12142857142857143,0.02991718426501035
Joe Willock,0.24647887323943662,0.1206896551724138,0.0297474502185527
Solly March,0.2682119205298013,0.10945945945945945,0.029358331841775547
Facundo Buonanotte,0.2222222222222222,0.12727272727272726,0.028282828282828278
Bukayo Saka,0.2577903682719547,0.10963855421686747,0.028263763268370934
Fabio Carvalho,0.2820512820512821,0.1,0.028205128205128212
Christian Eriksen,0.21929824561403508,0.1282051282051282,0.028115159694107057
Jacob Murphy,0.23741007194244604,0.11379310344827585,0.027015628876209376
Diego Costa,0.2318840579710145,0.1142857142857143,0.026501035196687374
Tetê,0.21951219512195125,0.12000000000000001,0.026341463414634152
Jacob Ramsey,0.1706484641638225,0.15151515151515152,0.025855827903609473
Riyad Mahrez,0.22065727699530516,0.11463414634146342,0.02529485858238864
Leon Bailey,0.24200913242009134,0.10392156862745097,0.025149968663264393
Cristiano Ronaldo,0.3275862068965517,0.076,0.02489655172413793
Brennan Johnson,0.19018404907975459,0.12653061224489795,0.02406410416927507
Jarrod Bowen,0.21727019498607242,0.10985915492957746,0.023869120012554434
Andreas Pereira,0.2173913043478261,0.10833333333333334,0.023550724637681163
Nayef Aguerd,0.12429378531073448,0.18333333333333335,0.022787193973634656
Pierre-Emerick Aubameyang,0.24193548387096772,0.09375,0.022681451612903223
Jack Grealish,0.20175438596491227,0.1121951219512195,0.02263585793752674
Odsonne Édouard,0.21000000000000002,0.1076923076923077,0.02261538461538462
Alexis Mac Allister,0.22741433021806853,0.09864864864864864,0.02243411635935
Scott McTominay,0.14728682170542634,0.14615384615384613,0.021526535480023846
Emmanuel Dennis,0.2375,0.09047619047619047,0.021488095238095237
Gabriel Dos Santos,0.13456464379947228,0.159375,0.021446240105540894
Eberechi Eze,0.22184300341296928,0.09420289855072464,0.020898253944700004
Luis Díaz,0.22522522522522523,0.09259259259259259,0.020854187520854186
Pascal Groß,0.15000000000000002,0.13846153846153847,0.020769230769230772
Philip Billing,0.15960912052117265,0.12894736842105264,0.020581176067203843
Manor Solomon,0.18749999999999997,0.10909090909090909,0.02045454545454545
Gianluca Scamacca,0.24271844660194172,0.08333333333333333,0.020226537216828475
Ethan Pinnock,0.1,0.2,0.020000000000000004
Elliot Anderson,0.2173913043478261,0.09090909090909091,0.019762845849802375
James Maddison,0.23913043478260868,0.08148148148148147,0.01948470209339774
Theo Walcott,0.17600000000000002,0.11000000000000001,0.019360000000000006
