Player,npxG,npSh,npxG_per_shot,Efficiency
Mathias Jørgensen,0.9,5.0,0.18,0.162
Joe Aribo,1.5,14.0,0.10714285714285714,0.1607142857142857
Marc Guéhi,1.5,14.0,0.10714285714285714,0.1607142857142857
Tom Davies,1.2,9.0,0.13333333333333333,0.16
Dejan Kulusevski,2.6,43.0,0.06046511627906977,0.1572093023255814
Matheus Cunha,2.0,26.0,0.07692307692307693,0.15384615384615385
Fred,2.0,26.0,0.07692307692307693,0.15384615384615385
Paul Onuachu,1.3,11.0,0.11818181818181818,0.15363636363636363
Christian Pulisic,1.7,19.0,0.08947368421052632,0.15210526315789474
Ezri Konsa,1.1,8.0,0.1375,0.15125000000000002
Ayoze Pérez,1.1,8.0,0.1375,0.15125000000000002
Joel Ward,1.1,8.0,0.1375,0.15125000000000002
Eric Dier,1.6,17.0,0.09411764705882353,0.15058823529411766
Carlos Alcaraz,1.9,24.0,0.07916666666666666,0.15041666666666664
Thiago Silva,1.5,15.0,0.1,0.15000000000000002
Danilo,1.5,15.0,0.1,0.15000000000000002
Alex Iwobi,2.5,42.0,0.05952380952380952,0.1488095238095238
Degnand Gnonto,1.8,22.0,0.08181818181818182,0.14727272727272728
Joachim Andersen,1.8,22.0,0.08181818181818182,0.14727272727272728
Cristiano Ronaldo,1.9,25.0,0.076,0.1444
Aaron Wan-Bissaka,1.2,10.0,0.12,0.144
Trent Alexander-Arnold,2.4,40.0,0.06,0.144
Chris Wood,1.0,7.0,0.14285714285714285,0.14285714285714285
Ryan Sessegnon,1.6,18.0,0.08888888888888889,0.14222222222222222
Mateo Kovačić,1.8,23.0,0.0782608695652174,0.14086956521739133
Pierre-Emerick Aubameyang,1.5,16.0,0.09375,0.140625
John McGinn,2.4,42.0,0.05714285714285714,0.13714285714285712
William Saliba,0.9,6.0,0.15,0.135
Hamed Junior Traorè,0.9,6.0,0.15,0.135
Christian Nørgaard,1.6,19.0,0.08421052631578947,0.13473684210526315
Robin Koch,1.5,17.0,0.08823529411764706,0.1323529411764706
Lewis Dunk,1.7,22.0,0.07727272727272727,0.13136363636363635
Ibrahima Konaté,1.2,11.0,0.10909090909090909,0.1309090909090909
Manor Solomon,1.2,11.0,0.10909090909090909,0.1309090909090909
Cole Palmer,1.2,11.0,0.10909090909090909,0.1309090909090909
Rúben Neves,2.8,60.0,0.04666666666666666,0.13066666666666665
Andrew Robertson,1.3,13.0,0.1,0.13
Duje Ćaleta-Car,0.8,5.0,0.16,0.128
Marc Roca,2.1,35.0,0.060000000000000005,0.12600000000000003
Josh Dasilva,1.5,18.0,0.08333333333333333,0.125
Pedro Porro,1.8,26.0,0.06923076923076923,0.12461538461538463
Harvey Elliott,2.1,36.0,0.058333333333333334,0.12250000000000001
Ben Chilwell,1.4,16.0,0.0875,0.12249999999999998
Pascal Struijk,1.4,16.0,0.0875,0.12249999999999998
Mason Mount,2.0,33.0,0.06060606060606061,0.12121212121212122
Pierre Højbjerg,2.0,33.0,0.06060606060606061,0.12121212121212122
Michael Keane,1.3,14.0,0.09285714285714286,0.12071428571428572
Max Kilman,1.3,14.0,0.09285714285714286,0.12071428571428572
Kamaldeen Sulemana,1.7,24.0,0.07083333333333333,0.12041666666666666
Mohammed Salisu,1.5,19.0,0.07894736842105263,0.11842105263157894
Rico Henry,1.6,22.0,0.07272727272727274,0.11636363636363639
Manuel Akanji,1.3,15.0,0.08666666666666667,0.11266666666666668
Frank Onyeka,1.0,9.0,0.1111111111111111,0.1111111111111111
Wout Faes,1.2,13.0,0.0923076923076923,0.11076923076923076
Felipe,1.2,13.0,0.0923076923076923,0.11076923076923076
Fabio Carvalho,1.1,11.0,0.1,0.11000000000000001
Tom Cairney,1.5,21.0,0.07142857142857142,0.10714285714285714
Stefan Bajcetic,0.8,6.0,0.13333333333333333,0.10666666666666667
Arnaut Danjuma,0.8,6.0,0.13333333333333333,0.10666666666666667
Armando Broja,0.8,6.0,0.13333333333333333,0.10666666666666667
João Moutinho,1.3,16.0,0.08125,0.10562500000000001
Moisés Caicedo,1.7,28.0,0.060714285714285714,0.10321428571428572
Adama Traoré,1.4,19.0,0.07368421052631578,0.10315789473684209
Samuel Edozie,0.9,8.0,0.1125,0.10125
Adam Lallana,0.9,8.0,0.1125,0.10125
Ellis Simms,0.9,8.0,0.1125,0.10125
Reiss Nelson,1.1,12.0,0.09166666666666667,0.10083333333333334
Jesse Lingard,1.0,10.0,0.1,0.1
Liam Cooper,1.0,10.0,0.1,0.1
Pervis Estupiñán,1.7,29.0,0.05862068965517241,0.0996551724137931
Joël Matip,0.7,5.0,0.13999999999999999,0.09799999999999999
Curtis Jones,1.2,15.0,0.08,0.096
Philippe Coutinho,1.4,21.0,0.06666666666666667,0.09333333333333332
Joe Worrall,0.8,7.0,0.1142857142857143,0.09142857142857144
Allan Saint-Maximin,1.6,28.0,0.05714285714285715,0.09142857142857144
John Stones,1.0,11.0,0.09090909090909091,0.09090909090909091
Elliot Anderson,1.0,11.0,0.09090909090909091,0.09090909090909091
Craig Dawson,1.0,11.0,0.09090909090909091,0.09090909090909091
Trevoh Chalobah,0.9,9.0,0.1,0.09000000000000001
Matías Viña,0.9,9.0,0.1,0.09000000000000001
Luke Shaw,1.1,14.0,0.07857142857142858,0.08642857142857145
Jordan Henderson,1.4,23.0,0.0608695652173913,0.08521739130434781
Wesley Fofana,0.7,6.0,0.11666666666666665,0.08166666666666665
Diego Llorente,0.7,6.0,0.11666666666666665,0.08166666666666665
Kyle Walker-Peters,1.0,13.0,0.07692307692307693,0.07692307692307693
Clément Lenglet,1.0,13.0,0.07692307692307693,0.07692307692307693
Gonçalo Guedes,1.2,19.0,0.06315789473684211,0.07578947368421053
Kalidou Koulibaly,0.9,11.0,0.08181818181818182,0.07363636363636364
Lewis Hall,0.9,11.0,0.08181818181818182,0.07363636363636364
Declan Rice,1.6,35.0,0.045714285714285714,0.07314285714285715
Ben Davies,1.0,14.0,0.07142857142857142,0.07142857142857142
Armel Bella Kotchap,1.0,14.0,0.07142857142857142,0.07142857142857142
Pedro Neto,1.1,17.0,0.06470588235294118,0.07117647058823531
Ruben Loftus-Cheek,0.8,9.0,0.08888888888888889,0.07111111111111111
James Garner,0.8,9.0,0.08888888888888889,0.07111111111111111
Serge Aurier,0.8,9.0,0.08888888888888889,0.07111111111111111
Oleksandr Zinchenko,1.4,28.0,0.049999999999999996,0.06999999999999999
Neco Williams,1.3,25.0,0.052000000000000005,0.06760000000000001
Noni Madueke,0.9,12.0,0.075,0.0675
Renan Lodi,1.0,15.0,0.06666666666666667,0.06666666666666667
Matt Doherty,0.8,10.0,0.08,0.064
Joe Gelhardt,0.8,10.0,0.08,0.064
Reece James,1.0,16.0,0.0625,0.0625
Raphaël Varane,0.7,8.0,0.0875,0.06124999999999999
Chris Mepham,0.7,8.0,0.0875,0.06124999999999999
Davinson Sánchez,0.6,6.0,0.09999999999999999,0.05999999999999999
Moussa Niakhate,0.6,6.0,0.09999999999999999,0.05999999999999999
Tyrick Mitchell,0.6,6.0,0.09999999999999999,0.05999999999999999
Sekou Mara,1.0,17.0,0.058823529411764705,0.058823529411764705
Emerson Palmieri,0.8,11.0,0.07272727272727274,0.058181818181818196
Kieran Trippier,0.9,14.0,0.0642857142857143,0.057857142857142864
Romain Perraud,1.3,30.0,0.043333333333333335,0.05633333333333334
Maximilian Wöber,0.7,9.0,0.07777777777777778,0.05444444444444444
Cheick Doucouré,1.4,36.0,0.03888888888888889,0.05444444444444444
Bertrand Traoré,0.7,9.0,0.07777777777777778,0.05444444444444444
Jhon Durán,0.6,7.0,0.08571428571428572,0.05142857142857143
Kostas Tsimikas,0.6,7.0,0.08571428571428572,0.05142857142857143
Adam Smith,0.5,5.0,0.1,0.05
Weston McKennie,0.8,13.0,0.06153846153846154,0.04923076923076924
Rasmus Nissen,0.8,13.0,0.06153846153846154,0.04923076923076924
Anthony Elanga,0.7,10.0,0.06999999999999999,0.048999999999999995
Rayan Aït Nouri,0.7,10.0,0.06999999999999999,0.048999999999999995
Marcel Sabitzer,0.7,11.0,0.06363636363636363,0.04454545454545454
Fabio Vieira,0.8,15.0,0.05333333333333334,0.04266666666666667
Billy Gilmour,0.5,6.0,0.08333333333333333,0.041666666666666664
Craig Dawson,0.5,6.0,0.08333333333333333,0.041666666666666664
Sam Greenwood,0.7,12.0,0.05833333333333333,0.040833333333333326
Orel Mangala,0.6,9.0,0.06666666666666667,0.04
Kenny Tete,0.7,13.0,0.05384615384615384,0.037692307692307685
João Cancelo,0.8,17.0,0.047058823529411764,0.037647058823529415
Naby Keïta,0.6,10.0,0.06,0.036
Keane Lewis-Potter,0.5,7.0,0.07142857142857142,0.03571428571428571
Idrissa Gana Gueye,0.7,15.0,0.04666666666666666,0.03266666666666666
Kyle Walker,0.4,5.0,0.08,0.032
Toti Gomes,0.4,5.0,0.08,0.032
Enzo Fernández,0.8,20.0,0.04,0.032
Carney Chukwuemeka,0.4,5.0,0.08,0.032
Çağlar Söyüncü,0.4,5.0,0.08,0.032
Thilo Kehrer,0.5,8.0,0.0625,0.03125
Nathan Patterson,0.5,8.0,0.0625,0.03125
Tosin Adarabioyo,0.7,16.0,0.04375,0.030624999999999996
Lyanco,0.6,12.0,0.049999999999999996,0.029999999999999995
Youri Tielemans,0.9,28.0,0.03214285714285715,0.028928571428571432
Neeskens Kebano,0.5,9.0,0.05555555555555555,0.027777777777777776
Álex Moreno,0.6,13.0,0.04615384615384615,0.02769230769230769
Fabinho,0.7,18.0,0.03888888888888889,0.02722222222222222
Cheikhou Kouyaté,0.4,6.0,0.06666666666666667,0.02666666666666667
Lisandro Martínez,0.5,10.0,0.05,0.025
Vitaliy Mykolenko,0.5,10.0,0.05,0.025
Aymeric Laporte,0.5,10.0,0.05,0.025
Sergio Gómez,0.4,7.0,0.05714285714285715,0.02285714285714286
