Player,npxG/90,npSh,npxG_per_shot,Efficiency
Raheem Sterling,0.33333333333333337,9.0,0.14444444444444446,0.048148148148148155
Michail Antonio,0.2647058823529412,5.0,0.18,0.04764705882352941
Lyle Foster,0.27586206896551724,5.0,0.16,0.04413793103448276
Diogo Jota,0.36363636363636365,7.0,0.1142857142857143,0.041558441558441565
Anthony Gordon,0.3225806451612903,8.0,0.125,0.04032258064516129
Pedro Neto,0.3,9.0,0.13333333333333333,0.04
Bruno Fernandes,0.325,11.0,0.11818181818181818,0.03840909090909091
Eberechi Eze,0.425,19.0,0.08947368421052632,0.038026315789473686
Kevin Schade,0.2692307692307692,5.0,0.13999999999999999,0.037692307692307685
Marcus Rashford,0.358974358974359,14.0,0.09999999999999999,0.035897435897435895
Willy Boly,0.2105263157894737,5.0,0.16,0.033684210526315796
Moussa Diaby,0.2571428571428572,9.0,0.1,0.025714285714285717
Ben Chilwell,0.21212121212121213,6.0,0.11666666666666665,0.024747474747474747
Axel Disasi,0.175,5.0,0.13999999999999999,0.024499999999999997
Kai Havertz,0.19999999999999998,6.0,0.11666666666666665,0.023333333333333327
Kaoru Mitoma,0.20512820512820515,8.0,0.1,0.020512820512820516
Mario Lemina,0.2,8.0,0.1,0.020000000000000004
Rodri,0.2105263157894737,9.0,0.08888888888888889,0.018713450292397665
Lucas Paquetá,0.15384615384615385,5.0,0.12,0.018461538461538463
Philip Billing,0.20512820512820515,9.0,0.08888888888888889,0.018233618233618236
Carlton Morris,0.19999999999999998,7.0,0.08571428571428572,0.01714285714285714
Phil Foden,0.19999999999999998,7.0,0.08571428571428572,0.01714285714285714
Danny Welbeck,0.23809523809523808,7.0,0.07142857142857142,0.017006802721088433
Jordan Ayew,0.225,12.0,0.075,0.016875
Hwang Hee-chan,0.25,6.0,0.06666666666666667,0.016666666666666666
Jack Grealish,0.2,5.0,0.08,0.016
Antoine Semenyo,0.24,9.0,0.06666666666666667,0.016
Pascal Groß,0.1794871794871795,8.0,0.0875,0.015705128205128205
Miguel Almirón,0.19999999999999998,9.0,0.07777777777777778,0.015555555555555555
Gabriel Martinelli,0.18918918918918917,9.0,0.07777777777777778,0.014714714714714713
Declan Rice,0.125,5.0,0.1,0.0125
Anel Ahmedhodzic,0.125,5.0,0.1,0.0125
Enzo Fernández,0.15,9.0,0.06666666666666667,0.01
Antony,0.17647058823529413,11.0,0.05454545454545454,0.009625668449197862
Pablo Sarabia,0.15789473684210525,5.0,0.06,0.009473684210526315
Dejan Kulusevski,0.12820512820512822,7.0,0.07142857142857142,0.009157509157509158
Alejandro Garnacho,0.19999999999999998,7.0,0.04285714285714286,0.00857142857142857
Morgan Gibbs-White,0.1,5.0,0.08,0.008
Martin Ødegaard,0.15384615384615385,12.0,0.049999999999999996,0.007692307692307692
Pedro Porro,0.13333333333333333,7.0,0.05714285714285715,0.00761904761904762
Pervis Estupiñán,0.1,6.0,0.06666666666666667,0.006666666666666667
Raúl Jiménez,0.1142857142857143,7.0,0.05714285714285715,0.00653061224489796
Jeffrey Schlupp,0.08823529411764706,5.0,0.06,0.005294117647058823
Saïd Benrahma,0.12903225806451613,10.0,0.04,0.005161290322580645
Luca Koleosho,0.09090909090909091,5.0,0.04,0.0036363636363636364
Dominik Szoboszlai,0.075,8.0,0.0375,0.0028125
Ryan Christie,0.06666666666666667,5.0,0.04,0.0026666666666666666
Trent Alexander-Arnold,0.05555555555555556,5.0,0.04,0.0022222222222222222
Lewis Dunk,0.05,7.0,0.028571428571428574,0.0014285714285714288
Yves Bissouma,0.052631578947368425,8.0,0.025,0.0013157894736842107
