Squad,Team Explosiveness Index
Liverpool,38.356
Tottenham,31.328000000000007
Manchester City,31.164000000000005
Newcastle Utd,30.002999999999997
Aston Villa,29.143
Brighton,28.611
Brentford,26.79
Arsenal,25.668000000000003
Chelsea,24.752
Everton,23.392999999999997
Manchester Utd,22.05
West Ham,16.24
Wolves,15.589
Luton Town,14.04
Crystal Palace,13.695999999999998
Nott'ham Forest,12.543999999999999
Bournemouth,11.97
Fulham,11.024
Burnley,8.245
Sheffield Utd,6.300000000000001
